Id,Date,Heure,Kilométrage,Station,Jauge Début (%),Jauge Fin (%),Énergie (kWh),Mode Saisie,Montant Payé (€),Prix E10 (€/L),Prix au kWh (€/kWh),Distance (km),Conso kWh/100km,Conso Essence (€),Économie Totale (€),Économie au 100km (€/100km),Pertes Charge (%),Statut
244,21/03/2025,12:28,6285,McDo Salon,42.0,86.0,28.00,MONTANT,8.85,1.616,0.316,37.0,0.00,3.89,-4.96,-13.41,100.6,COMPLETE
245,21/03/2025,15:29,6451,Tesla Bosc,26.0,80.0,34.89,MONTANT,13.95,1.616,0.400,166.0,23.13,17.44,-1.48,-0.73,99.0,COMPLETE
246,22/03/2025,11:00,6622,Revel Decaze,19.0,41.0,16.00,MONTANT,8.80,1.616,0.550,171.0,22.83,17.96,7.68,2.05,88.0,COMPLETE
247,25/03/2025,14:00,6740,La Besse,14.0,100.0,54.27,PRIX_KWH,10.94,1.645,,118.0,14.64,12.62,9.36,1.90,101.4,COMPLETE
248,27/03/2025,07:00,6904,Mad Monts,50.0,100.0,31.55,PRIX_KWH,6.36,1.645,,164.0,19.51,17.54,20.54,3.13,101.4,COMPLETE
249,29/03/2025,19:17,7078,La Besse,55.0,89.0,21.92,PRIX_KWH,4.42,1.656,,174.0,16.55,18.73,34.85,4.20,99.3,COMPLETE
250,30/03/2025,12:59,7090,La Besse,88.0,100.0,9.33,PRIX_KWH,1.88,1.656,,12.0,5.33,1.29,34.26,4.07,82.3,COMPLETE
251,31/03/2025,12:55,7340,Pkg Nb,28.0,49.0,14.07,MONTANT,7.94,1.656,0.564,250.0,18.43,26.91,53.23,4.87,95.5,COMPLETE
252,31/03/2025,17:00,7348,Tesla Narbonne,49.0,86.0,23.98,MONTANT,10.07,1.656,0.420,8.0,0.00,0.86,44.02,4.00,98.7,COMPLETE
253,31/03/2025,18:32,7474,Ionity Larzac,26.0,61.0,21.58,MONTANT,14.59,1.656,0.676,126.0,30.48,13.56,42.99,3.51,103.8,COMPLETE
254,01/04/2025,11:00,7593,La Besse,24.0,100.0,46.78,PRIX_KWH,9.43,1.665,,119.0,19.90,12.88,46.44,3.45,104.0,COMPLETE
255,03/04/2025,13:33,7761,Tesla Bosc,51.0,97.0,30.41,MONTANT,12.77,1.656,0.420,168.0,18.67,18.08,51.75,3.42,96.8,COMPLETE
256,03/04/2025,19:00,7948,Rognes,27.0,84.0,34.39,PRIX_KWH,6.93,1.665,,187.0,23.96,20.24,65.06,3.83,106.1,COMPLETE
257,05/04/2025,12:00,7982,Rognes,76.0,100.0,18.99,PRIX_KWH,3.83,1.640,,34.0,15.06,3.62,64.86,3.74,80.9,COMPLETE
258,05/04/2025,14:50,8173,Tesla Bosc,45.0,90.0,29.03,MONTANT,12.19,1.640,0.420,191.0,18.43,20.36,73.03,3.79,99.2,COMPLETE
259,15/04/2025,10:40,8339,La Besse,41.0,86.0,29.34,PRIX_KWH,5.91,1.614,,166.0,18.89,17.42,84.53,4.04,98.2,COMPLETE
260,23/04/2025,13:57,8436,La Besse,61.0,100.0,26.70,PRIX_KWH,5.39,1.614,,97.0,16.49,10.18,89.32,4.08,93.5,COMPLETE
261,30/04/2025,15:05,8533,La Besse,76.0,85.0,5.80,PRIX_KWH,1.17,1.636,,97.0,15.84,10.31,98.46,4.31,99.3,COMPLETE
262,02/05/2025,16:07,8617,La Besse,60.0,71.0,6.93,PRIX_KWH,1.40,1.636,,84.0,19.05,8.93,106.00,4.47,101.6,COMPLETE
263,06/05/2025,14:22,8650,La Besse,62.0,96.0,24.28,PRIX_KWH,4.89,1.586,,33.0,17.45,3.40,104.51,4.35,89.6,COMPLETE
264,07/05/2025,11:47,8811,Tesla Bosc,55.0,71.0,10.13,MONTANT,4.25,1.586,0.419,161.0,16.30,16.60,116.86,4.56,101.0,COMPLETE
265,09/05/2025,18:21,8997,Rognes,9.0,100.0,63.97,PRIX_KWH,12.90,1.586,,186.0,21.33,19.17,123.13,4.48,91.0,COMPLETE
266,11/05/2025,19:46,9185,Tesla Bosc,44.0,82.0,24.17,MONTANT,11.60,1.586,0.480,188.0,19.06,19.38,130.91,4.46,100.6,COMPLETE
267,12/05/2025,12:01,9350,La Besse,25.0,86.0,35.31,PRIX_KWH,7.12,1.586,,165.0,22.11,17.01,140.80,4.54,110.6,COMPLETE
268,20/05/2025,18:09,9445,La Besse,64.0,100.0,22.62,PRIX_KWH,4.56,1.607,,95.0,14.82,9.92,146.17,4.57,101.9,COMPLETE
269,21/05/2025,14:53,9679,McDonald's Mozac,39.0,93.0,34.77,MONTANT,12.25,1.607,0.352,234.0,16.68,24.44,158.36,4.62,99.4,COMPLETE
270,22/05/2025,14:40,9885,McDonald's Champagne,33.0,82.0,31.66,MONTANT,9.60,1.689,0.303,206.0,18.64,22.62,171.37,4.71,99.0,COMPLETE
271,22/05/2025,20:05,10059,McDonald's Montélimar,31.0,70.0,25.32,MONTANT,9.10,1.632,0.359,174.0,18.76,18.46,180.73,4.74,98.6,COMPLETE
272,25/05/2025,10:49,10185,Rognes,25.0,100.0,49.05,PRIX_KWH,9.89,1.601,,126.0,22.86,13.11,183.95,4.67,97.9,COMPLETE
273,31/05/2025,12:09,10373,Tesla Bosc,46.0,86.0,25.37,MONTANT,10.65,1.601,0.420,188.0,18.38,19.56,192.87,4.68,100.9,COMPLETE
274,01/06/2025,09:49,10544,La Besse,34.0,100.0,39.22,PRIX_KWH,7.91,1.601,,171.0,19.46,17.80,202.75,4.72,107.7,COMPLETE
275,08/06/2025,11:48,10698,La Besse,68.0,78.0,6.38,PRIX_KWH,1.37,1.601,,154.0,13.30,16.03,217.41,4.89,100.3,COMPLETE
276,10/06/2025,10:23,10775,La Besse,60.0,85.0,15.55,PRIX_KWH,2.64,1.629,,77.0,14.96,8.15,222.92,4.92,102.9,COMPLETE
277,13/06/2025,18:57,10909,La Besse,47.0,72.0,28.24,PRIX_KWH,4.79,1.629,,134.0,18.15,14.19,232.32,4.98,56.7,COMPLETE
278,30/06/2025,00:13,10959,La Besse,80.0,100.0,12.33,PRIX_KWH,2.49,1.699,,50.0,-10.24,5.52,235.35,5.00,103.8,COMPLETE
279,30/06/2025,12:53,11174,McDonald's Lempdes,48.0,90.0,26.99,MONTANT,8.10,1.699,0.300,215.0,15.48,23.74,251.00,5.10,99.6,COMPLETE
280,30/06/2025,16:48,11371,McDonald's La Verpilliére,24.0,81.0,36.44,MONTANT,11.10,1.699,0.305,197.0,21.44,21.76,261.65,5.11,100.1,COMPLETE
281,01/07/2025,13:15,11497,Tesla Annecy,33.0,63.0,18.41,MONTANT,8.28,1.699,0.450,126.0,24.38,13.91,267.29,5.09,104.3,COMPLETE
282,02/07/2025,11:14,11595,McDonald's Annecy,39.0,85.0,29.11,MONTANT,0.00,1.699,0.000,98.0,15.67,10.82,278.11,5.20,101.1,COMPLETE
283,03/07/2025,18:57,11850,Tesla Albertville,29.0,78.0,30.02,MONTANT,14.40,1.699,0.480,255.0,14.05,28.16,291.87,5.21,104.5,COMPLETE
284,03/07/2025,23:05,11949,McDonald's Sevrier,56.0,81.0,16.49,MONTANT,5.77,1.699,0.350,99.0,14.22,10.93,297.03,5.21,97.0,COMPLETE
285,05/07/2025,11:33,12182,Tesla Annecy,27.0,81.0,33.96,MONTANT,15.28,1.635,0.450,233.0,14.83,24.76,306.51,5.17,101.8,COMPLETE
286,05/07/2025,21:32,12333,Tesla Annecy,50.0,76.0,16.34,MONTANT,7.35,1.635,0.450,151.0,13.14,16.05,315.21,5.18,101.9,COMPLETE
287,07/07/2025,10:55,12424,McDonald's La tour du pin,50.0,80.0,18.80,MONTANT,5.70,1.635,0.303,91.0,18.29,9.67,319.18,5.17,102.1,COMPLETE
288,07/07/2025,13:31,12424,McDonald's Champagne,61.0,85.0,15.45,MONTANT,5.60,1.635,0.362,0.0,0.00,0.00,313.58,5.08,99.4,COMPLETE
289,07/07/2025,15:47,12654,McDonald's Cournon,26.0,85.0,37.32,MONTANT,13.30,1.635,0.356,230.0,16.42,24.44,324.73,5.07,101.2,COMPLETE
290,10/07/2025,00:02,12863,La Besse,24.0,74.0,32.50,PRIX_KWH,6.55,1.635,,209.0,18.68,22.21,340.39,5.15,98.5,COMPLETE
291,12/07/2025,13:42,12926,La Besse,57.0,100.0,26.86,PRIX_KWH,5.42,1.669,,63.0,17.27,6.83,341.80,5.12,102.5,COMPLETE
292,14/07/2025,22:17,13266,La Besse,21.0,74.0,30.39,PRIX_KWH,6.13,1.639,,340.0,14.87,36.22,371.89,5.30,111.6,COMPLETE
293,15/07/2025,21:52,13367,La Besse,54.0,100.0,28.70,PRIX_KWH,5.79,1.639,,101.0,12.67,10.76,376.86,5.29,102.6,COMPLETE
294,16/07/2025,18:27,13712,Rognes,23.0,78.0,31.77,PRIX_KWH,6.41,1.639,,345.0,14.28,36.75,407.21,5.46,110.8,COMPLETE
295,17/07/2025,22:04,13808,Rognes,53.0,80.0,18.25,PRIX_KWH,3.68,1.621,,96.0,16.67,10.12,413.64,5.47,94.7,COMPLETE
296,19/07/2025,01:18,13849,Rognes,71.0,97.0,19.15,PRIX_KWH,3.86,1.621,,41.0,14.05,4.32,414.10,5.45,86.9,COMPLETE
