id,timestamp,mileage,stationId,startChargePercentage,endChargePercentage,kwhAmount,inputMode,amountPaid,e10Price,statut
81,1742556480000,6285,278,42.0,86.0,28.00,BY_AMOUNT,8.85,1.750,COMPLETE
82,1742567340000,6451,272,26.0,80.0,34.89,BY_AMOUNT,13.95,1.750,COMPLETE
83,1742637600000,6622,275,19.0,41.0,16.00,BY_AMOUNT,8.80,1.750,COMPLETE
84,1742907600000,6740,274,14.0,100.0,54.27,BY_PRICE,10.94,1.750,COMPLETE
85,1743055200000,6904,276,50.0,100.0,31.55,BY_PRICE,6.36,1.750,COMPLETE
86,1743272220000,7078,274,55.0,89.0,21.92,BY_PRICE,4.42,1.750,COMPLETE
87,1743332340000,7090,274,88.0,100.0,9.33,BY_PRICE,1.88,1.750,COMPLETE
88,1743418500000,7340,277,28.0,49.0,14.07,BY_AMOUNT,7.94,1.750,COMPLETE
89,1743433200000,7348,279,49.0,86.0,23.98,BY_AMOUNT,10.07,1.750,COMPLETE
90,1743438720000,7474,280,26.0,61.0,21.58,BY_AMOUNT,14.59,1.750,COMPLETE
91,1743498000000,7593,274,24.0,100.0,46.78,BY_PRICE,9.43,1.750,COMPLETE
92,1743679980000,7761,272,51.0,97.0,30.41,BY_AMOUNT,12.77,1.750,COMPLETE
93,1743699600000,7948,273,27.0,84.0,34.39,BY_PRICE,6.93,1.750,COMPLETE
94,1743847200000,7982,273,76.0,100.0,18.99,BY_PRICE,3.83,1.750,COMPLETE
95,1743857400000,8173,272,45.0,90.0,29.03,BY_AMOUNT,12.19,1.750,COMPLETE
96,1744706400000,8339,274,41.0,86.0,29.34,BY_PRICE,5.91,1.750,COMPLETE
97,1745409420000,8436,274,61.0,100.0,26.70,BY_PRICE,5.39,1.750,COMPLETE
98,1746018300000,8533,274,76.0,85.0,5.80,BY_PRICE,1.17,1.750,COMPLETE
99,1746194820000,8617,274,60.0,71.0,6.93,BY_PRICE,1.40,1.750,COMPLETE
100,1746534120000,8650,274,62.0,96.0,24.28,BY_PRICE,4.89,1.750,COMPLETE
101,1746611220000,8811,272,55.0,71.0,10.13,BY_AMOUNT,4.25,1.750,COMPLETE
102,1746807660000,8997,273,9.0,100.0,63.97,BY_PRICE,12.90,1.750,COMPLETE
103,1746985560000,9185,272,44.0,82.0,24.17,BY_AMOUNT,11.60,1.750,COMPLETE
104,1747044060000,9350,274,25.0,86.0,35.31,BY_PRICE,7.12,1.750,COMPLETE
105,1747757340000,9445,274,64.0,100.0,22.62,BY_PRICE,4.56,1.750,COMPLETE
106,1747831980000,9679,281,39.0,93.0,34.77,BY_AMOUNT,12.25,1.750,COMPLETE
107,1747917600000,9885,282,33.0,82.0,31.66,BY_AMOUNT,9.60,1.750,COMPLETE
108,1747937100000,10059,283,31.0,70.0,25.32,BY_AMOUNT,9.10,1.750,COMPLETE
109,1748162940000,10185,273,25.0,100.0,49.05,BY_PRICE,9.89,1.750,COMPLETE
110,1748686140000,10373,272,46.0,86.0,25.37,BY_AMOUNT,10.65,1.750,COMPLETE
111,1748764140000,10544,274,34.0,100.0,39.22,BY_PRICE,7.91,1.750,COMPLETE
112,1749376080000,10698,274,68.0,78.0,6.38,BY_PRICE,1.37,1.750,COMPLETE
113,1749543780000,10775,274,60.0,85.0,15.55,BY_PRICE,2.64,1.750,COMPLETE
114,1749833820000,10909,274,47.0,72.0,28.24,BY_PRICE,4.79,1.750,COMPLETE
115,1751235180000,10959,274,80.0,100.0,12.33,BY_PRICE,2.49,1.750,COMPLETE
116,1751280780000,11174,288,48.0,90.0,26.99,BY_AMOUNT,8.10,1.750,COMPLETE
117,1751294880000,11371,284,24.0,81.0,36.44,BY_AMOUNT,11.10,1.750,COMPLETE
118,1751368500000,11497,285,33.0,63.0,18.41,BY_AMOUNT,8.28,1.750,COMPLETE
119,1751447640000,11595,286,39.0,85.0,29.11,BY_AMOUNT,0.00,1.750,COMPLETE
120,1751561820000,11850,289,29.0,78.0,30.02,BY_AMOUNT,14.40,1.750,COMPLETE
121,1751576700000,11949,287,56.0,81.0,16.49,BY_AMOUNT,5.77,1.750,COMPLETE
122,1751707980000,12182,285,27.0,81.0,33.96,BY_AMOUNT,15.28,1.750,COMPLETE
123,1751743920000,12333,285,50.0,76.0,16.34,BY_AMOUNT,7.35,1.750,COMPLETE
124,1751878500000,12424,290,50.0,80.0,18.80,BY_AMOUNT,5.70,1.750,COMPLETE
